feature,importance
cat__cp_4.0,0.10437045621384781
cat__thal_3.0,0.10379099666685898
num__thalach,0.09066423177965943
cat__thal_7.0,0.08812478389556794
cat__ca_0.0,0.0743514222478657
num__age,0.0732152969751012
num__oldpeak,0.0722767742614766
num__chol,0.05959051275533751
num__trestbps,0.04651518565725344
cat__exang_1.0,0.036869398076352804
cat__exang_0.0,0.03020393919086257
cat__sex_1.0,0.026693202615481117
cat__sex_0.0,0.024234580291327957
cat__slope_2.0,0.022628393385100455
cat__slope_1.0,0.02104797705437064
cat__cp_3.0,0.020524004122129198
cat__ca_1.0,0.019024271603002976
cat__cp_1.0,0.015524737429633095
cat__ca_3.0,0.012943285035455488
cat__cp_2.0,0.010544067600788519
cat__restecg_2.0,0.009121096307309555
cat__restecg_0.0,0.008213238773603726
cat__ca_2.0,0.007969786610437042
cat__fbs_1.0,0.005928394396084304
cat__thal_6.0,0.0055775708374614505
cat__fbs_0.0,0.005426311094448303
cat__slope_3.0,0.004611360611485168
cat__restecg_1.0,1.4724511696957682e-05
