feature,importance
cat__thal_3.0,0.32228285
cat__cp_4.0,0.18261448
cat__ca_0.0,0.078970425
cat__thal_7.0,0.07727491
cat__cp_1.0,0.039823167
cat__sex_0.0,0.039574023
cat__cp_3.0,0.033560175
cat__slope_2.0,0.032152675
num__oldpeak,0.027822772
cat__cp_2.0,0.026497658
num__age,0.025730237
num__chol,0.022498662
num__thalach,0.022101276
num__trestbps,0.01681445
cat__restecg_0.0,0.015102013
cat__ca_1.0,0.013473816
cat__exang_0.0,0.0123564275
cat__fbs_0.0,0.006529265
cat__slope_1.0,0.004820789
cat__thal_6.0,0.0
cat__ca_3.0,0.0
cat__ca_2.0,0.0
cat__sex_1.0,0.0
cat__slope_3.0,0.0
cat__fbs_1.0,0.0
cat__exang_1.0,0.0
cat__restecg_2.0,0.0
cat__restecg_1.0,0.0
