feature,importance
cat__cp_4.0,0.10417005809444009
cat__thal_3.0,0.10357148405184709
num__thalach,0.0912922949542645
cat__thal_7.0,0.08775996636653177
cat__ca_0.0,0.07357628852054426
num__oldpeak,0.07329824065926928
num__age,0.07090409540149352
num__chol,0.05958186073873608
num__trestbps,0.04619462090138054
cat__exang_1.0,0.037947704568967934
cat__exang_0.0,0.030539940722117527
cat__sex_1.0,0.02753466495398029
cat__sex_0.0,0.02380957159870888
cat__slope_2.0,0.022380877954844516
cat__slope_1.0,0.02082822321478689
cat__cp_3.0,0.02052504371095909
cat__ca_1.0,0.020073258150940052
cat__cp_1.0,0.01621611649314595
cat__ca_3.0,0.012918957407280754
cat__cp_2.0,0.01086907699754451
cat__restecg_2.0,0.008889291818761419
cat__restecg_0.0,0.008412677575905993
cat__ca_2.0,0.00792057234796983
cat__thal_6.0,0.005668561048216726
cat__fbs_1.0,0.005421251541146663
cat__fbs_0.0,0.00529984116640656
cat__slope_3.0,0.004391799550443524
cat__restecg_1.0,3.6594893658975107e-06
